trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
2,C,>>>>>,> ,right,0,0,0,right,1,1.4207214,None,0,0,0,1,0.1247159,,0.1149821,0.1247159,0.1247159,0.5166166,0.6318745,1.6374726,right,1,1.4207214,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
3,I,>>><>,<,left,1,1,0,left,1,2.0880595,None,0,1,1,2,1.6533241,,1.6463593,1.6533241,1.6533241,2.1472492,2.1651319,3.7490851,left,1,2.0880595,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
4,I,<<><<,> ,right,2,2,0,right,1,2.781087,None,0,2,2,3,3.7654819,,3.7522569,3.7654819,3.7654819,4.2486564,4.2656872,6.5493811,right,1,2.781087,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
1,C,<<<<<,<,left,3,3,0,left,1,1.7081913,None,0,3,3,0,6.5654341,,6.5526022,6.5654341,6.5654341,7.0490729,7.0654526,8.2824945,left,1,1.7081913,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
1,C,<<<<<,<,left,4,0,1,left,1,1.5810758,None,1,0,4,0,8.298859,,8.2827452,8.298859,8.298859,8.7819723,8.7988094,9.8828052,left,1,1.5810758,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
3,I,>>><>,<,left,5,1,1,left,1,1.4871057,None,1,1,5,2,9.8987166,,9.8860666,9.8987166,9.8987166,10.3818108,10.3990118,11.3994511,left,1,1.4871057,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
2,C,>>>>>,> ,right,6,2,1,left,0,1.6629111,None,1,2,6,1,11.4152898,,11.4025796,11.4152898,11.4152898,11.8988233,11.9155208,13.0824679,left,0,1.6629111,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
4,I,<<><<,> ,right,7,3,1,right,1,2.0541256,None,1,3,7,3,13.0988386,,13.0857652,13.0988386,13.0988386,13.5821606,13.5989234,15.1660916,right,1,2.0541256,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
1,C,<<<<<,<,left,8,0,2,left,1,1.1482463,None,2,0,8,0,15.1819998,,15.1690553,15.1819998,15.1819998,15.6657707,15.6818274,16.333063,left,1,1.1482463,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
2,C,>>>>>,> ,right,9,1,2,right,1,1.2169698,None,2,1,9,1,16.3486077,,16.3362033,16.3486077,16.3486077,16.8487526,16.8487526,17.5663137,right,1,1.2169698,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
4,I,<<><<,> ,right,10,2,2,right,1,2.477453,None,2,2,10,3,17.5819183,,17.569365,17.5819183,17.5819183,18.0818053,18.0818053,20.0662933,right,1,2.477453,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
3,I,>>><>,<,left,11,3,2,left,1,1.5563898,None,2,3,11,2,20.0821428,,20.0693913,20.0821428,20.0821428,20.5824351,20.5824351,21.6493919,left,1,1.5563898,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
2,C,>>>>>,> ,right,12,0,3,right,1,2.2312674,None,3,0,12,1,21.6655692,,21.6527931,21.6655692,21.6655692,22.1486618,22.1655409,23.8996571,right,1,2.2312674,None,_par_4,1,2025-11-10_23h27.15.853,flankers_task_final,,2025.1.1,60.10077698,2025-11-10 23h27.27.997329 +0530
